german,German
Ich,I
ist,is
ich,I
nicht,not
Sie,She
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,We
Und,And
so,Loading...
sind,Loading...
von,Loading...
dich,Loading...
war,was
haben,Loading...
für,Loading...
Ja,Loading...
hier,Loading...
an,Loading...
habe,Loading...
Er,Loading...
bin,Loading...
wie,Loading...
noch,Loading...
dir,Loading...
uns,Loading...
sich,Loading...
Die,Loading...
nur,only
einen,Loading...
Nein,Loading...
dem,Loading...
ihn,Loading...
auch,Loading...
hast,Loading...
sein,Loading...
ihr,Loading...
da,Loading...
aus,Loading...
kann,Loading...
aber,but
Aber,But
schon,Loading...
wenn,Loading...
wird,becomes
um,Loading...
Wie,How
als,Loading...
bist,Loading...
im,Loading...
mal,Loading...
doch,Loading...
gut,Loading...
meine,Loading...
jetzt,now
weiß,Loading...
Wenn,Loading...
werden,Loading...
Der,Loading...
nach,Loading...
ja,Loading...
Oh,Loading...
oder,Loading...
dann,Loading...
will,Loading...
mein,Loading...
mehr,Loading...
keine,Loading...
etwas,Loading...
alles,Loading...
muss,Loading...
immer,Loading...
nichts,Loading...
man,Loading...
wieder,Loading...
bei,at
hab,Loading...
machen,Loading...
vor,Loading...
Mann,Loading...
ihm,Loading...
einem,Loading...
tun,Loading...
zum,Loading...
können,Loading...
sagen,Loading...
werde,Loading...
denn,Loading...
Ist,Loading...
Ein,Loading...
Warum,Loading...
einer,Loading...
gehen,Loading...
sehen,Loading...
sehr,Loading...
geht,goes
alle,Loading...
über,Loading...
müssen,Loading...
diese,Loading...
einfach,Loading...
euch,you
des,of
nie,never
Also,Loading...
Wo,Loading...
los,Loading...
Zeit,Loading...
Ihnen,Loading...
gibt,Loading...
wirklich,Loading...
Hey,Loading...
Danke,Loading...
deine,Loading...
würde,Loading...
soll,Loading...
Da,Loading...
hatte,Loading...
Hier,Loading...
wissen,Loading...
bitte,please
viel,much
Dann,Loading...
So,Loading...
gesagt,Loading...
Ihr,Loading...
am,at the
kein,Loading...
Komm,Loading...
Wer,Loading...
zurück,Loading...
wurde,Loading...
In,Loading...
wollte,wanted
Frau,Loading...
Leben,Loading...
wäre,Loading...
wo,Loading...
damit,Loading...
Nicht,Not
Gott,God
Leute,Loading...
kannst,Loading...
heute,Loading...
meinen,Loading...
dieser,Loading...
dein,Loading...
kommt,Loading...
kommen,Loading...
willst,Loading...
Na,Loading...
wollen,Loading...
sicher,Loading...
ganz,Loading...
Jetzt,Loading...
Mein,Loading...
Mr,Loading...
also,Loading...
zur,Loading...
Hast,Loading...
Gut,Loading...
hätte,Loading...
weil,Loading...
tut,Loading...
Hallo,Loading...
Okay,Loading...
macht,Loading...
waren,were
bis,Loading...
Vielleicht,Loading...
könnte,Loading...
Eine,Loading...
Bitte,Loading...
weg,Loading...
seine,Loading...
lassen,Loading...
Vater,Loading...
gesehen,Loading...
Nun,Well
gerade,straight
Alles,Loading...
glaube,Loading...
Tag,Day
ab,Loading...
Geld,Loading...
gemacht,Loading...
nein,Loading...
Sir,Loading...
sollte,Loading...
sagte,Loading...
keinen,Loading...
durch,Loading...
zwei,Loading...
diesen,Loading...
passiert,Loading...
wohl,probably
vielleicht,Loading...
ihre,Loading...
Mutter,Mother
reden,Loading...
anderen,Loading...
dachte,Loading...
daß,Loading...
möchte,Loading...
wirst,Loading...
gehört,Loading...
weißt,Loading...
Keine,No
raus,Loading...
Meine,Loading...
paar,Loading...
besser,Loading...
ob,Loading...
her,Loading...
musst,Loading...
Ordnung,Loading...
meiner,mine
klar,clear
ihnen,them
Los,Loading...
diesem,Loading...
meinem,Loading...
lange,Loading...
Lass,Loading...
dieses,Loading...
helfen,Loading...
unsere,Loading...
Weg,Loading...
selbst,Loading...
Nur,Loading...
finden,Loading...
Mal,Loading...
jemand,Loading...
denke,Loading...
Ach,Loading...
Nacht,Night
genau,Loading...
gar,Loading...
sagt,Loading...
Welt,Loading...
Auf,Loading...
Mädchen,Loading...
ins,Loading...
hin,Loading...
vom,Loading...
schön,Loading...
warum,Loading...
weiter,Loading...
Leid,Sorrow
gleich,even
wer,Loading...
Man,Loading...
ohne,Loading...
Menschen,Loading...
deinen,yours
leid,Loading...
Wieso,Loading...
dort,Loading...
Als,Loading...
Hause,Loading...
sollten,Loading...
davon,Loading...
zusammen,Loading...
geben,Loading...
Ok,Loading...
Hör,Loading...
machst,do
Freund,Loading...
richtig,Loading...
Angst,Loading...
Bist,Are
Tut,Loading...
Mit,Loading...
viele,Loading...
sieht,Loading...
Haus,Loading...
tot,Loading...
sollen,Loading...
ganze,Loading...
andere,Loading...
getan,Loading...
okay,Loading...
rein,Loading...
Diese,This
Moment,Loading...
bleiben,Loading...
brauchen,Loading...
Weil,Loading...
Kinder,Loading...
unter,Loading...
Arbeit,Loading...
Für,For
Problem,Loading...
dafür,Loading...
Herr,Mister
Haben,Have
wegen,Loading...
geht's,Loading...
liebe,love
genug,Loading...
dabei,Loading...
bringen,bring
Ihre,Loading...
ne,Loading...
gegen,Loading...
Weißt,Loading...
Sag,Loading...
schnell,Loading...
nun,Loading...
eines,Loading...
brauche,Loading...
Abend,Loading...
hatten,Loading...
Jahre,Loading...
Mach,Loading...
Bruder,Loading...
Sache,Loading...
hören,Loading...
komm,Loading...
Sohn,Loading...
seit,Loading...
Morgen,Loading...
drei,Loading...
steht,Loading...
Scheiße,Loading...
mag,Loading...
sei,Loading...
unser,Loading...
konnte,Loading...
habt,Loading...
Oder,Loading...
einmal,Loading...
heißt,Loading...
OK,Loading...
Willst,Loading...
Kopf,Loading...
Hilfe,Loading...
Familie,Loading...
Geh,Loading...
Baby,Loading...
Dich,Loading...
Sind,Loading...
erst,Loading...
fertig,Loading...
gefunden,Loading...
seid,Loading...
kam,Loading...
nehmen,Loading...
morgen,Loading...
sprechen,Loading...
Mir,Loading...
sofort,Loading...
Kann,Loading...
Hat,Loading...
Jahren,Loading...
Kind,Loading...
seinen,Loading...
Genau,Loading...
daran,Loading...
Junge,Loading...
Minuten,Loading...
bevor,Loading...
Stadt,Loading...
beim,Loading...
sterben,Loading...
warst,Loading...
Recht,Loading...
glauben,Loading...
Warte,Loading...
darüber,Loading...
deiner,Loading...
deinem,Loading...
Ende,Loading...
He,Loading...
Dinge,Loading...
Namen,Loading...
wahr,Loading...
Alle,Loading...
allein,Loading...
Natürlich,Loading...
töten,Loading...
Nichts,Loading...
Wirklich,Loading...
bekommen,Loading...
Männer,Loading...
vergessen,Loading...
Doch,Loading...
dazu,Loading...
gab,Loading...
später,Loading...
wusste,Loading...
Augen,Loading...
Dank,Loading...
Freunde,Loading...
Jungs,Loading...
halten,Loading...
warten,Loading...
Glück,Loading...
beide,Loading...
gute,Loading...
Dein,Loading...
kennen,Loading...
Deine,Loading...
n,Loading...
Hi,Loading...
Dr,Loading...
Auto,Loading...
sage,Loading...
gehe,Loading...
komme,Loading...
Dir,Loading...
mache,Loading...
Von,Loading...
Uhr,Loading...
sehe,Loading...
Teufel,Loading...
sonst,Loading...
Art,Loading...
gern,Loading...
Liebe,Loading...
jeden,Loading...
könnten,Loading...
ihren,Loading...
Halt,Loading...
Fall,Loading...
Dad,Loading...
Film,Loading...
bisschen,Loading...
eigentlich,Loading...
weit,Loading...
mach,Loading...
Gib,Loading...
vorbei,Loading...
verstehe,Loading...
danke,Loading...
drin,Loading...
Im,Loading...
Name,Loading...
ganzen,Loading...
Musik,Loading...
würden,Loading...
Tür,Loading...
verrückt,Loading...
solltest,Loading...
denken,Loading...
Noch,Loading...
dran,Loading...
Sieh,Loading...
lieber,Loading...
Den,Loading...
leben,Loading...
Guten,Loading...
Um,Loading...
darauf,Loading...
Kein,Loading...
stimmt,Loading...
Kerl,Loading...
letzte,Loading...
Job,Loading...
verloren,Loading...
wurden,Loading...
kenne,Loading...
Ahnung,Loading...
seiner,Loading...
Grund,Loading...
toll,Loading...
Bis,Loading...
Verdammt,Loading...
bald,Loading...
bereit,Loading...
all,Loading...
jemanden,Loading...
hinter,Loading...
Schon,Loading...
Sehr,Loading...
Hand,Loading...
darf,Loading...
Dieser,Loading...
Frauen,Loading...
Euch,Loading...
Idee,Loading...
runter,Loading...
Macht,Loading...
draußen,Loading...
lang,Loading...
Land,Loading...
lass,Loading...
Typ,Loading...
hätten,Loading...